title,price,url
ایفون 17پرومکس طرح اصلی,95000000,https://divar.ir/v/ایفون-17پرومکس-طرح-اصلی/gap8xj2L
گوشی شیاومی m4pro 256 ram 8 معاوضه,210000000,https://divar.ir/v/گوشی-شیاومی-m4pro-256-ram-8-معاوضه/gav8vBuK
سامسونگs23الترا,1380000000,https://divar.ir/v/سامسونگs23الترا/gav4_4s0
گوشی سامسونگ m32 ۱۲۸g,150000000,https://divar.ir/v/گوشی-سامسونگ-m32-۱۲۸g/gav8vByS
طرح سامسونگ s24ultra/قلم فعال+دوربین 48 مگاپیکسل,59800000,https://divar.ir/v/طرح-سامسونگ-s24ultra-قلم-فعال-دوربین-48-مگاپیکسل/Qax_KpT7
سامسونگ b315e دوسیم کارت رمخور فاقد دوربین,23000000,https://divar.ir/v/سامسونگ-b315e-دوسیم-کارت-رمخور-فاقد-دوربین/Qadu1xV_
S25 ultra  آکبند ریجستر شده,2370000000,https://divar.ir/v/s25-ultra-آکبند-ریجستر-شده/gav4_6E2
خرید و فروش اقساط اپل 12 13 14 15 17 iPhone 16,1650000000,https://divar.ir/v/خرید-و-فروش-اقساط-اپل-12-13-14-15-17-iphone-16/QanLzGWM
گوشی پوکو poco x6 pro,420000000,https://divar.ir/v/گوشی-پوکو-poco-x6-pro/gav4P-q4
شیائومی پوکو poco X7 pro حافظه 512 رم12,710000000,https://divar.ir/v/شیائومی-پوکو-poco-x7-pro-حافظه-512-رم12/gav4f3mL
آیفون۱۱پرومکس ۲۵۶G,680000000,https://divar.ir/v/آیفون۱۱پرومکس-۲۵۶g/gav4f5is
/ایفون در موبایل ۹۱۷ قیمت مناسب + گارانتی اصلی,129000000,https://divar.ir/v/-ایفون-در-موبایل-۹۱۷-قیمت-مناسب-گارانتی-اصلی/gav4f8ML
گوشی فول کپی S25 Ultra,235000000,https://divar.ir/v/گوشی-فول-کپی-s25-ultra/gav4P8IH
۱۳ نرمال,910000000,https://divar.ir/v/۱۳-نرمال/garIsoFP
هواوی. y7p.   2020,95000000,https://divar.ir/v/هواوی-y7p-2020/gav0f0h8
گوشی موبایل سامسونگ,60000000,https://divar.ir/v/گوشی-موبایل-سامسونگ/gav4P5kU
گوشی a07,215000000,https://divar.ir/v/گوشی-a07/gav4v3tq
شیاومی,10000,https://divar.ir/v/شیاومی/gav4_0A8
۱۳نرمال باطری ۸۹ پلمپ,980000000,https://divar.ir/v/۱۳نرمال-باطری-۸۹-پلمپ/gav4Pzu4
ردمی نوت 12 در حدنو صفر,195000000,https://divar.ir/v/ردمی-نوت-12-در-حدنو-صفر/gav4_y6i
گوشیA17,500000000,https://divar.ir/v/گوشیa17/gav4vwo3
ایفون X,250000000,https://divar.ir/v/ایفون-x/gav4vucd
موبایل شیائومی mi 11 lite 5G ne,270000000,https://divar.ir/v/موبایل-شیائومی-mi-11-lite-5g-ne/gav4ftPc
S26 Ultra اقساط,1518000000,https://divar.ir/v/s26-ultra-اقساط/gaMgIdhd
